Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,School Enrollment In Primary (% net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominican Republic,,,,,,,,,,,,,74.27716064,,,,,,,,,,,,,,,,,,,,,,,,,,,82.53443146,83.4720993,,88.85964203,87.53127289,80.82215881,82.39086151,80.24614716,86.28598022,82.63857269,89.20320129,89.32936096,88.5205307,86.76468658,85.69574738,83.5528717,86.8852005,86.09824371,
Algeria,,,,,,,,,,,,,,67.49807739,71.40164948,73.81181335,75.78453827,77.35260773,78.40789032,78.50411987,79.61673737,79.87956238,79.55007935,78.88215637,79.90032959,80.24539948,81.39682007,82.70111084,83.80078888,84.86515045,85.39041138,87.11221313,88.19908905,87.7100296,87.65254211,87.88282776,87.43859863,86.91522217,,88.30293274,89.17990875,91.1517334,92.1738205,92.47238159,92.95629883,93.17478943,93.23413086,95.23760223,96.3155899,97.41130829,97.20088196,97.55867767,97.27710724,,,97.50817108,97.55011749,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,91.49858093,94.03540039,95.032341,95.73467255,95.44548798,95.16191864,94.37245941,93.49613953,92.56951904,91.40830994,90.7142868,90.22097778,92.18448639,94.05294037,94.26325989,94.52921295,96.72355652,96.44342041,96.49002075,94.34255981,93.97115326,94.98251343,95.07653809,95.45635986,95.59841919,95.76283264,95.60414886,95.17346954,95.05953979,95.15341949,95.35253143,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,70.32389069,71.46729279,72.52147675,73.82063293,74.78703308,75.57272339,75.78363037,76.58457947,76.38851166,77.62065887,79.20397186,79.25074768,79.45983124,79.42305756,79.81070709,80.39663696,80.03851318,80.24963379,79.65634155,79.64510345,79.93585968,80.94702911,81.48574066,81.78243256,83.80203247,85.09343719,86.35540771,87.41638184,89.0655899,89.17363739,89.46379089,89.94841003,89.96665192,90.64437103,90.86567688,90.87049866,91.30605316,91.50440216,
East Asia & Pacific,,,,,,,,,,,,,,,,,88.0203476,86.4119873,84.30124664,84.34880829,85.3197403,86.48095703,87.12461853,87.33390808,87.78560638,90.26101685,92.24272919,94.56337738,95.47939301,96.11374664,95.83779144,95.53304291,94.77416229,93.93668365,93.07868195,91.97331238,91.2843399,90.76036072,92.54267883,94.28368378,94.49436188,94.73184204,96.78591919,96.58103943,96.63168335,94.68061066,94.34345245,95.29257202,95.38375092,95.73435211,95.82772064,95.98320007,95.79345703,95.33045959,95.21102905,95.35041046,95.5372467,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.10321045,93.05503082,92.74047852,91.4492569,90.34866333,88.03137207,89.99239349,91.794487,91.06362152,91.69889832,92.56365204,94.56169128,94.00524902,92.48251343,92.54956818,92.67324066,92.82073212,92.3781662,93.08731842,93.25222015,93.1162262,93.52728271,93.65486908,94.02365875,94.22223663,
Europe & Central Asia,,,,,,,,,,,,,93.3526535,93.03959656,93.07234192,93.17375183,93.45059204,93.50344086,93.62702942,93.78495026,93.75859833,93.31500244,93.31543732,93.0497818,93.6656189,93.70922089,94.29196167,94.67079926,95.16828918,94.99803162,95.0280304,95.37670135,95.04910278,94.77339172,94.62866974,94.13995361,93.82041168,92.79534149,94.39402771,95.21748352,94.86837006,95.23583984,95.52681732,96.28726959,95.68373871,94.97979736,95.0085907,95.02783203,95.342453,95.1011734,95.48925781,95.59873962,95.56839752,95.94078064,95.8824234,96.07659149,96.14778137,
Ecuador,,,,,,,,,,,,79.75784302,,80.44145203,81.42385864,80.8082428,81.27761078,84.41770172,86.30007935,89.46933746,88.07433319,,,,,,,,,,,,,,92.28862762,92.6522522,93.69230652,96.07215118,94.99421692,94.75227356,95.51550293,96.958992,97.58860779,97.19928741,,97.40260315,96.86723328,96.98815918,,97.24019623,95.27102661,95.51647949,95.24609375,95.04888916,92.30751038,91.27307892,91.90783691,91.34874725
"Egypt, Arab Rep.",,,,,,,,,,,,63.73332977,64.11434174,63.93592072,,,,,65.56543732,,,,,,,,,,,,,,,,84.9343338,,,85.76127625,,83.92057037,84.05010223,85.42745209,86.93292999,88.98307037,91.22119904,90.24205017,90.28288269,95.34037018,,95.98267365,97.1634903,93.17767334,96.87068939,,95.82694244,,97.45082092,
Euro area,,,,,,,,,,,95.16181183,95.17523193,95.28650665,95.2682724,95.8299408,96.08542633,96.38671112,96.43524933,96.78356934,96.98571777,96.95864105,96.93379974,96.60041809,95.94262695,95.7618866,95.80213928,96.55622101,96.73567963,96.84100342,96.98417664,96.76159668,96.76611328,96.21224213,96.3747406,96.20697021,96.70082855,97.48908997,97.53742981,98.41744995,98.43881226,98.32823181,98.34117126,98.14563751,97.94776154,97.80580902,97.75666046,97.77275848,97.97516632,97.92771912,97.78156281,97.85344696,97.86470795,97.80165863,97.82396698,97.5704422,97.70516968,97.66544342,
